timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
98.0,19.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,87.0,0.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110.0,13.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,104.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
129.0,14.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,127.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,16.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,111.0,0.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
142.0,16.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,93.0,0.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
123.0,15.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,160.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
125.0,20.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,90.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,15.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,150.0,0.0,3.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117.0,11.0,3.0,0.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,101.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
122.0,12.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,103.0,0.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113.0,15.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,145.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,16.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,134.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124.0,17.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,95.0,1.0,3.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
99.0,21.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,140.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.0,21.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,106.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128.0,14.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,113.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1132.0,21.0,2.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,88.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
136.0,20.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,135.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
120.0,15.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,151.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
150.0,21.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105.0,16.0,2.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,156.0,1.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
111.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,94.0,1.0,3.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108.0,18.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,123.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
