timeDuration,nMovements,movementsDifficulty,robotSpeech,acrobaticMovements,movementsRepetition,movementsTransitionsDuration,humanMovements,balance,speed,bodyPartsCombination,musicBPM,sameStartEndPositionPlace,headMovement,armsMovement,handsMovement,legsMovement,feetMovement,musicGenre_electronic,musicGenre_folk,musicGenre_indie,musicGenre_latin,musicGenre_pop,musicGenre_rap,musicGenre_rock
96.0,21.0,1.0,0.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,132.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122.0,12.0,2.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,103.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120.0,19.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,131.0,1.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
112.0,10.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,159.0,0.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
86.0,17.0,2.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,121.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102.0,14.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,159.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,16.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,123.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
103.0,18.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,138.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114.0,17.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,90.0,1.0,3.0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
127.0,21.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,120.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,128.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,17.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,156.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102.0,18.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,108.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
139.0,19.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,100.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,20.0,3.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,128.0,0.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,18.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,118.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105.0,12.0,1.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,123.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
122.0,14.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,153.0,1.0,2.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108.0,19.0,3.0,0.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,130.0,0.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
129.0,14.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,138.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,19.0,2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,80.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137.0,23.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,148.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119.0,22.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,127.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,140.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,21.0,2.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,128.0,0.0,3.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.0,17.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,81.0,0.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
102.0,17.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,131.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,18.0,3.0,0.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,164.0,0.0,2.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108.0,15.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,134.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139.0,20.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,131.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
101.0,13.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,157.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127.0,17.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,96.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
